YEAR,TICKETS SOLD,TOTAL BOX OFFICE,TOTAL INFLATION ADJUSTED BOX OFFICE,AVERAGE TICKET PRICE
2021,"42,37,74,881",3881777912,3881777912,9.16
2020,"22,36,38,958",2048534616,2048534616,9.16
2019,"1,22,85,41,629",11253443955,11253444050,9.16
2018,"1,31,15,36,128",11948096650,12013670952,9.11
2017,"1,22,56,39,761",10993991460,11226860216,8.97
2016,"1,30,25,56,378",11267115924,11931416424,8.65
2015,"1,32,33,56,776",11155900636,12121948075,8.43
2014,"1,25,74,02,920",10272985008,11517810744,8.17
2013,"1,33,91,68,926",10887446341,12266787382,8.13
2012,"1,38,09,21,942",10992141616,12649244986,7.96
2011,"1,28,29,15,168",10173519704,11751502955,7.93
2010,"1,32,85,49,021",10482254025,12169509032,7.89
2009,"1,41,85,67,388",10639257284,12994051137,7.5
2008,"1,35,80,42,073",9750744148,12439665380,7.18
2007,"1,42,00,36,680",9769854914,13007535993,6.88
2006,"1,39,87,38,283",9161738221,12812442671,6.55
2005,"1,37,29,80,280",8800805718,12576499367,6.41
2004,"1,49,56,51,298",9287996519,13700165883,6.21
2003,"1,52,45,89,620",9193277289,13965240914,6.03
2002,"1,57,57,56,527",9155147215,14433929789,5.81
2001,"1,46,58,74,205",8296849636,13427407722,5.66
2000,"1,39,74,60,079",7532311479,12800734319,5.39
1999,"1,44,46,64,086",7338894852,13233123027,5.08
1998,"1,44,38,32,471",6771575283,13225505439,4.69
1997,"1,35,73,49,648",6230235770,12433322785,4.59
1996,"1,30,52,21,290",5769078886,11955781912,4.42
1995,"1,22,17,05,907",5314421390,11190826105,4.35
